lgaCode,lCode,schCode,progID,schName,id
1,1420256700,1,1,"ADAMS PRIMARY SCHOOL, ISSELE-UKU",1334
1,1420256700,2,1,"ANAGBA PRIMARY SCHOOL, OBOMKPA",1335
1,1420256700,3,1,"ANIEMEKE PRIMARY SCHOOL, ONICHA-UGBO",1336
1,1420256700,4,1,"ANIUGO PRIMARY SCHOOL, ANIOFU",1337
1,1420256700,5,1,"AZAGBA PRIMARY SCHOOL, ISSELE-AZAGBA",1338
1,1420256700,6,1,"AZANOBA PRIMARY SCHOOL, UBULUBU",1339
1,1420256700,7,1,"BURR PRIMARY SCHOOL I, ISSELE-UKU",1340
1,1420256700,8,1,"DIEI PRIMARY SCHOOL, IDUMU-OGO",1341
1,1420256700,9,1,"EGBUNE PRIMARY SCHOOL, ISSELE-UKU",1342
1,1420256700,10,1,"EKO PRIMARY SCHOOL I, UKWU-NZU",1343
1,1420256700,11,1,"ENUOFU PRIMARY SCHOOL, ISSELE-MKPITIME",1344
1,1420256700,12,1,"EZI-UZOR PRIMARY SCHOOL, EZI",1345
1,1420256700,13,1,"GBONOZA PRIMARY SCHOOL, ONICHA-UGBO",1346
1,1420256700,14,1,"IFEYINWA PRIMARY SCHOOL, ONICHA-UGBO",1347
1,1420256700,15,1,"IKEKE PRIMARY SCHOOL, IDUMUJE-UNOR",1348
1,1420256700,16,1,"ISIOJI PRIMARY SCHOOL, ONICHA-UGBO",1349
1,1420256700,17,1,"IYI-ENENE PRIMARY SCHOOL, ANIOMA",1350
1,1420256700,18,1,"IYI-OGBE PRIMARY SCHOOL, ONICHA-OLONA",1351
1,1420256700,20,1,"KANIDINMA PRIMARY SCHOOL, ONICHA-UKU",1352
1,1420256700,19,1,"MARTIN PRIMARY SCHOOL, ISSELE-UKU",1353
1,1420256700,21,1,"NKEZE PRIMARY SCHOOL, IDUMUJE-UGBOKO",1354
1,1420256700,22,1,"NKWOR  PRIMARY SCHOOL II, IDUMUJE-UNOR",1355
1,1420256700,23,1,"OFUNNE PRIMARY SCHOOL, OBOMKPA",1356
1,1420256700,24,1,"NKWOR PRIMARY SCHOOL I, IDUMUJE-UNOR",1357
1,1420256700,25,1,"OFUOKWU PRIMARY SCHOOL, OBIOR",1358
1,1420256700,26,1,"OGBE-UTU PRIMARY SCHOOL, ISSELE-UKU",1359
1,1420256700,27,1,"OGBOI PRIMARY SCHOOL, OGODOR",1360
1,1420256700,28,1,"OHE PRIMARY SCHOOL, UGBODU",1361
1,1420256700,29,1,"OJEOKPA PRIMARY SCHOOL, UGBOBA",1362
1,1420256700,30,1,"OMADO PRIMARY SCHOOL I,  ISSELE-UKU   ",1363
1,1420256700,31,1,"OSEMEKE PRIMARY SCHOOL, ISSELE-AZAGBA",1364
1,1420256700,32,1,"PAUL EMECHETE PRIMARY SCHOOL, EZI",1365
1,1420256700,33,1,"UGBA PRIMARY SCHOOL, ONICHA-OLONA",1366
1,1420256700,34,1,"UGBOKO PRIMARY SCHOOL, UDUMUJE-UGBOKO",1367
1,1420256700,35,1,"UKPALI PRIMARY SCHOOL, OBIOR",1368
1,1420256700,36,1,"HOLY CHILD INT'L NURSERY/PRIMARY SCHOOL, ISSELE-UKU",1369
1,1420256700,37,1,"MERCY INT'L NURSERY/PRIMARY SCHOOL, ONICHA-OLONA",1370
1,1420256700,38,1,"PILGRIM BAPTIST NURSERY/PRIMARY SCHOOL, ISSELE-UKU",1375
1,1420256700,39,1,"DIEI ADULT CENTRE, IDUMUOGO",1376
1,1420256700,43,1,"OHE ADULT CENTRE, UGBODU",1377
